AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
284897,8468,5.0,40.0
22898,829,4.5,42.0
4740,8309,5.0,65.0
234491,6110,5.0,6.0
20371,546,5.0,65.0
642765,11288,4.5,6.0
89831,7047,5.0,50.0
574635,11724,4.5,35.0
89831,10007,5.0,50.0
206191,6592,5.0,55.0
27643,1001,5.0,60.0
38418,2708,3.5,25.0
85402,3412,5.0,15.0
166642,8247,5.0,17.0
44684,1823,5.0,160.0
45681,2698,5.0,50.0
122993,6160,5.0,45.0
743849,11682,5.0,50.0
1072593,12682,5.0,10.0
226867,11487,5.0,30.0
240552,9651,5.0,20.0
212497,12746,5.0,90.0
1236155,11999,5.0,50.0
192957,6708,5.0,70.0
113941,7120,5.0,30.0
693345,11035,5.0,85.0
32023,902,5.0,210.0
56447,2105,5.0,80.0
1534,122,5.0,9.0
141293,5062,5.0,135.0
32326,2509,5.0,30.0
27678,2412,5.0,30.0
25455,5174,5.0,40.0
50293,2592,5.0,120.0
87236,175,5.0,25.0
1015482,11751,5.0,95.0
104295,3633,5.0,45.0
62043,3638,5.0,60.0
215522,13301,4.5,55.0
26635,624,4.5,10.0
26512,4260,5.0,10.0
226863,7405,5.0,20.0
247662,6333,5.0,80.0
13796,4030,5.0,30.0
166642,8247,5.0,17.0
2310,2741,5.0,35.0
107135,8365,5.0,60.0
491970,8936,5.0,130.0
37636,4019,4.5,58.0
482376,10838,5.0,35.0
1347180,11876,5.0,500.0
101919,4532,5.0,35.0
1634,129,5.0,20.0
1131079,11306,5.0,55.0
220153,8646,4.5,15.0
28201,695,5.0,50.0
67899,3187,5.0,40.0
247473,12255,5.0,50.0
29358,5446,4.5,40.0
27783,12234,5.0,17.0
37449,8968,5.0,40.0
1072892,11760,5.0,3.0
176088,5032,5.0,60.0
29229,1199,5.0,120.0
37305,1891,5.0,370.0
37636,3701,5.0,40.0
383346,9493,5.0,26.0
27643,1637,5.0,45.0
37636,3951,5.0,495.0
27416,3857,5.0,240.0
41706,2365,5.0,10.0
166642,8034,5.0,500.0
242729,10216,5.0,140.0
789508,13287,4.5,20.0
64642,4119,5.0,25.0
35965,3199,5.0,20.0
20371,561,5.0,35.0
1762,67,5.0,70.0
59144,4498,5.0,25.0
31695,1841,4.5,55.0
579858,11438,4.5,15.0
147095,12629,5.0,60.0
86520,3699,5.0,45.0
28839,734,5.0,25.0
58104,2551,5.0,15.0
44172,1553,5.0,15.0
1228317,12048,4.0,35.0
2549237,13405,5.0,50.0
1058797,13295,4.5,195.0
264017,9997,5.0,25.0
58407,2995,5.0,180.0
16459,811,5.0,125.0
1762,67,5.0,70.0
11158,1510,5.0,1090.0
24386,3157,5.0,40.0
11158,1510,5.0,1090.0
296027,8486,5.0,65.0
459426,10448,5.0,40.0
66983,4018,5.0,435.0
86855,4462,5.0,70.0
5060,1930,5.0,70.0
290107,9804,5.0,15.0
28087,11267,5.0,510.0
65502,11628,5.0,35.0
28087,11267,5.0,510.0
65486,2665,4.0,370.0
143318,9191,5.0,25.0
101604,3616,5.0,63.0
1262706,12964,4.0,65.0
269521,6690,5.0,40.0
163112,7342,4.5,35.0
1361760,11912,5.0,135.0
74281,12589,5.0,25.0
38682,1222,5.0,35.0
38730,4974,5.0,20.0
31525,4014,4.5,12.0
209747,6255,5.0,20.0
386585,12252,4.5,155.0
30534,3695,4.0,500.0
1762,67,5.0,70.0
1677099,13266,5.0,30.0
134663,4224,5.0,225.0
993446,13447,4.0,23.0
5060,1930,5.0,70.0
20591,567,5.0,40.0
745336,10159,5.0,5.0
119445,4007,5.0,45.0
582561,12324,4.0,30.0
742802,10295,5.0,25.0
49304,2146,5.0,110.0
437587,8324,5.0,195.0
1347180,11876,5.0,500.0
135470,11621,5.0,27.0
1525071,12680,5.0,65.0
2678032,13250,5.0,40.0
60752,4036,5.0,105.0
145352,5859,5.0,45.0
146857,4488,5.0,60.0
415390,9037,5.0,120.0
290994,7511,5.0,55.0
50509,12971,4.5,675.0
141293,5062,5.0,135.0
452940,10965,5.0,155.0
145352,6126,5.0,30.0
542159,12659,5.0,45.0
28839,764,5.0,30.0
34879,2441,5.0,50.0
67103,2697,4.5,40.0
723867,10017,4.5,45.0
24386,12749,4.5,75.0
125325,626,5.0,260.0
237461,8752,5.0,70.0
47892,6814,5.0,5.0
80353,12731,5.0,20.0
80353,3192,5.0,27.0
41531,4835,4.5,365.0
56447,2105,5.0,80.0
424680,8298,5.0,25.0
194313,5295,4.5,3.0
80353,12292,4.5,45.0
57042,13241,5.0,75.0
119859,3995,5.0,40.0
200862,6303,4.5,45.0
1072593,12071,4.5,20.0
245301,10374,5.0,45.0
152251,6681,5.0,175.0
145352,5332,5.0,70.0
235355,7472,5.0,60.0
35893,1060,5.0,25.0
66506,5688,4.0,10.0
67103,2697,4.5,40.0
12491,282,5.0,22.0
49414,9385,5.0,100.0
237461,8752,5.0,70.0
1762,67,5.0,70.0
60575,4131,5.0,75.0
25996,1943,5.0,20.0
328154,12785,4.0,10.0
88378,6109,5.0,60.0
125640,5607,4.5,615.0
133933,4346,5.0,218.0
29300,3938,4.5,30.0
1809,75,5.0,20.0
78808,5091,5.0,70.0
92385,4350,4.5,60.0
10404,844,4.5,245.0
101604,3616,5.0,63.0
195106,10654,5.0,35.0
322872,7580,4.0,40.0
241626,6376,4.5,305.0
157425,9273,5.0,120.0
17721,414,4.5,95.0
8688,1780,5.0,26.0
665869,11955,5.0,65.0
395940,12954,5.0,20.0
144038,4597,2.5,18.0
23102,2248,4.5,48.0
31525,4014,4.5,12.0
61660,3243,5.0,240.0
27643,824,5.0,23.0
89831,9947,5.0,85.0
81656,3336,5.0,5.0
137302,10978,5.0,75.0
335149,7460,4.0,40.0
